tc_no,tags,persona_class,persona,group_name,description,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12
1,Smoke_Test,MorocconMaleAdult,,,Verify user is able to login via mobile/email.,InvalidateToken(),Login_Email().Assert(COMM_SINK),,,,,,,,,,
2,Smoke_Test,MorocconMaleAdult,,,Create Preregistration data and book a slot.,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments().Assert(API_CALL),BookAppointment().ASSERT(ALL),GenerateAcknowledgement().Assert(DONT),,,,,,
5,Positive_Test,MorocconMaleAdult,,,Create Preregistration data for an user ,InvalidateToken(),Login_Email().Assert(COMM_SINK),AddApplication().Assert(API_CALL),AddDocuments().Assert(API_CALL),,,,,,,,
6,Smoke_Test,MorocconFemaleAdult,,,Update demographic data and documents of an user,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(POA).Assert(API_CALL),UpdateDemographics().Assert(API_CALL),AddDocuments(POI).Assert(API_CALL),,,,,,
7,Smoke_Test,MorocconMaleAdult,,,Cancel the booked appointment,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(),BookAppointment().Assert(API_CALL),CancelAppointment().Error(PRG_BOOK_RCI_013),,,,,,
8,Positive_Test,MorocconMaleAdult,,,Discard an application before booking an appointment,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplication().Assert(STATUS),DiscardApplication().Assert(API_CALL),,,,,,,,
9,Positive_Test,MorocconMaleAdult,,,Discard an application after cancelling the booking,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(),BookAppointment().Assert(API_CALL),CancelAppointment().Error(PRG_BOOK_RCI_013),DiscardApplication().Assert(API_CALL),,,,,
10,Negative_Test,MorocconMaleAdult,,,Book appointment for an invalid center,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(),BookAppointment_InvalidCenter().Error(PRG_BOOK_RCI_007),,,,,,,
11,Negative_Test,NonMorocconMaleAdult,,,Book appointment for a past date,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(),BookAppointment_PASTDATE().Error(PRG_BOOK_RCI_031),,,,,,,
12,Positive_Test,MorocconFemaleAdult,,,Verify deletion of OTP from DB once consumed,InvalidateToken(),Login_Mobile().Assert(DB_VERIFICATION),,,,,,,,,,
13,Smoke_Test,HOF,,FAMILY1,Create pre-regristration for a HOF and add his dependents.,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplicationAll().Assert(ALL),AddDocumentAll(),BookAppointmentAll(),,,,,,,
14,Smoke_Test,HOF,,FAMILY2,Copy documents of HOF to his family members,InvalidateToken(),Login_Email().Assert(DONT),AddApplicationAll().Assert(ALL),AddDocumentAll(),"CopyDocument()[1,0]","CopyDocument()[2,0]",BookAppointmentAll(),,,,,
15,Positive_Test,NonMorocconMaleAdult,,,Rebook appointment for an user after cancelling the earlier appointment,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplication().Assert(STATUS),AddDocuments(),BookAppointment().Assert(STATUS),CancelAppointment().Assert(STATUS),BookAppointment().Assert(API_CALL),,,,,
16,Positive_Test,MorocconFemaleAdult,,,Rebook appointment for an user without cancelling the earlier appointment,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplication().Assert(STATUS),BookAppointment().Assert(STATUS),BookAppointment().Assert(STATUS),,,,,,,
17,Positive_Test,VillageHead,,VILLAGE1,Create pre-regristration for a VillageHead and add his dependents and book appointment,InvalidateToken(),Login_Mobile().Assert(DONT),AddApplicationAll().ASSERT(ALL),AddDocumentAll().ASSERT(ALL),BookAppointmentAll().Assert(STATUS),,,,,,,
20,Negative_Test,MorocconFemaleAdult,,,Cancel appointment without booking one.,InvalidateToken(),Login_Email().Assert(DONT),AddApplication(),CancelAppointment().ERROR(PRG_BOOK_RCI_013),,,,,,,,
21,Negative_Test,MorocconMaleAdult,,,Upload files of unsupported formats.,InvalidateToken(),Login_Email().Assert(DONT),AddApplication(),AddDocuments(),,,,,,,,
22,Positive_Test,MorocconFemaleAdult,,,Upload files size more than configured limit.,InvalidateToken(),Login_Email().Assert(DONT),AddApplication(),AddDocuments_InvalidSize().Error(PRG_PAM_DOC_007),,,,,,,,
23,Negative_Test,NonMorocconMaleAdult,,,Book an appointment for invalid pre reg id.,InvalidateToken(),Login_Email().Assert(DONT),AddApplication(),AddDocuments(),BookAppointment_InvalidPRID().Error(PRG_PAM_APP_005),,,,,,,
